frame,x_26,x_28,y_26,y_28,distance,time_seconds,X,Y,ángulo_26_28,velocidad_angular,aceleracion_angular,velocidad,aceleracion,delta_t,error_total_px_28,error_total_px_26,error_tibia_px,error_tibia,error_total_tibia_px,error_X,error_Y,error_ángulo_26_28,error_ángulo,error_tiempo,error_velocidad_angular,velocidad_angular_error_positivo,velocidad_angular_error_negativo,error_aceleracion_angular,aceleracion_angular_error_positivo,aceleracion_angular_error_negativo,ángulo_26_28_error_positivo,ángulo_26_28_error_negativo,error_velocidad,error_aceleracion,energia_cinetica,altura_cm,energia_potencial,energia_mecanica,variacion_energia_mecanica,trabajo_calorico
29,297,292,259,382,123.10158406779338,0.4836095238095238,5,123,0.0338872303565412,-0.0027458019248715,,-0.0033801256648808,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344645499019965,0.0344645499019965,0.02,0.3446458031990199,0.6865458044731682,-0.6920374083229114,0.8616172179425894,,,0.0683517802585377,-0.0005773195454553,0.4242644653743965,1.0618448525686388,3.0157712842512147e-06,0.013552298010863748,1.9942206522986006,1.9942236680698848,-0.002692021576778947,-0.002692021576778947
30,296,292,260,383,123.06502346320826,0.5002857142857143,4,123,0.0338402766629046,-0.0028156126966497,,-0.003465034425765,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344747887557805,0.0344747887557805,0.02,0.3447482073057148,0.6866808019147799,-0.6923120273080794,0.8618705359349511,,,0.0683150654186852,-0.0006345120928758,0.4242644855668815,1.061841721211792,3.1710699430139993e-06,0.013533527301247109,1.991458542378512,1.9914617134484551,-0.0027619546214296964,-0.0027619546214296964
31,295,292,261,384,123.03657992645928,0.5169619047619047,3,123,0.0338040302464034,-0.0021735429655239,,-0.0026742529280127,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344827586206896,0.0344827586206896,0.02,0.3448277767082367,0.6874820104509495,-0.6918290963819974,0.8620709361875522,,,0.068286788867093,-0.0006787283742862,0.4242643170173243,1.0618420527306522,1.8897156091913723e-06,0.013519037026588028,1.9893262984624285,1.9893281881780376,-0.0021335252704175467,-0.0021335252704175467
32,295,292,261,384,123.03657992645928,0.5336380952380952,3,123,0.0337888235477743,-0.0009118808429779,,-0.0011219470022045,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344827586206896,0.0344827586206896,0.02,0.344827619737229,0.6887433586314801,-0.6905671203174358,0.8620748195667041,,,0.0682715821684639,-0.0006939350729153,0.4242641124164115,1.0618455056270173,3.326106687160343e-07,0.013512957820619393,1.9884317433041436,1.9884320759148124,-0.0008961122632251683,-0.0008961122632251683
33,295,292,261,384,123.03657992645928,0.5503142857142858,3,123,0.033803288084809,0.0008673765783229,,0.0010671904770517,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344827586206896,0.0344827586206896,0.02,0.3448276165442057,0.6905226096667344,-0.6887878565100886,0.8620805171521431,,,0.0682860467054986,-0.0006794705358806,0.4242641082545253,1.0618524811175625,3.009368514492568e-07,0.013518740331545851,1.989282639786972,1.9892829407238235,0.0008508648090110871,0.0008508648090110871
34,295,292,261,384,123.03657992645928,0.5669904761904762,3,123,0.0338542264451684,0.0030545561609032,,0.0037582214323083,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344827586206896,0.0344827586206896,0.02,0.3448279624405919,0.6927104810420871,-0.6866013687202804,0.8620872470183075,,,0.0683369850658581,-0.0006285321755211,0.4242645591066682,1.061863660299183,3.732125336044679e-06,0.013539104018181947,1.9922791562754736,1.9922828884008097,0.002999947676986192,0.002999947676986192
35,296,293,262,385,123.03657992645928,0.5836666666666667,3,123,0.0339464796140714,0.0055320289747635,,0.0068064192510898,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344827586206896,0.0344827586206896,0.02,0.3448288202485284,0.6951896694718204,-0.6841256115222932,0.8620943000389203,,,0.068429238234761,-0.0005362790066182,0.4242656772001836,1.0618795405501529,1.2241337831049163e-05,0.01357598408366622,1.9977060579114845,1.9977182992493154,0.0054354108485057395,0.0054354108485057395
36,297,293,263,385,122.06555615733704,0.6003428571428572,4,122,0.0340831697271155,0.0081967229409685,,0.0100053754445693,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347570667818095,0.0347570667818095,0.02,0.3475733556333356,0.7033434342076397,-0.6869499883257026,0.8689589250223175,,,0.0688402365089251,-0.0006738970546939,0.4242675475564105,1.0619001359782112,2.687450678839972e-05,0.013630628501571923,2.0057469840063087,2.005773858513097,0.008055559263781653,0.008055559263781653
37,297,293,263,386,123.06502346320826,0.6170190476190476,4,123,0.0342657175960706,0.0109466169276277,,0.0134714566904126,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344747887557805,0.0344747887557805,0.02,0.3447527205810209,0.7004520580896696,-0.678558824234414,0.8619092189180706,,,0.0687405063518511,-0.0002090711597099,0.4242703695158605,1.0619272103778783,4.793136886409013e-05,0.01370360501394127,2.0164854778014583,2.0165334091703224,0.010759550657225336,0.010759550657225336
38,297,293,263,386,123.06502346320826,0.6336952380952381,4,123,0.0344940052960381,0.0136894394612158,,0.016846911884927,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344747887557805,0.0344747887557805,0.02,0.3447554459366307,0.7032003313344775,-0.6758214524120456,0.8619158912649768,,,0.0689687940518186,1.9216540257542547e-05,0.4242739225549015,1.061958320949352,7.496030110491693e-05,0.013794866132980397,2.0299145514680657,2.0299895117691706,0.013456102598848219,0.013456102598848219
39,297,293,263,386,123.06502346320826,0.6503714285714286,4,123,0.0347665833043176,0.0163453403023126,,0.0201153968781822,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344747887557805,0.0344747887557805,0.02,0.3447586632017088,0.7058626667057302,-0.673171986101105,0.8619222327953484,,,0.0692413720600982,0.000291794548537,0.424278116892895,1.0619931599010324,0.00010686805983936183,0.01390383196425604,2.045948873540276,2.0460557416001155,0.016066229830944856,0.016066229830944856
40,297,293,263,386,123.06502346320826,0.667047619047619,4,123,0.0350809057899872,0.0188485785238784,,0.0231960075828922,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344747887557805,0.0344747887557805,0.02,0.3447622163724866,0.7083730112688517,-0.6706758542210948,0.861928259919522,,,0.0695556945457678,0.0006061170342066,0.4242827491473543,1.0620304362250983,0.00014210756494832403,0.01402948429198806,2.0644386135660433,2.0645807211309917,0.018524979530876173,0.018524979530876173
41,297,293,263,386,123.06502346320826,0.6837238095238095,4,123,0.0354334731499725,0.0211419604788424,,0.0260183586238696,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344747887557805,0.0344747887557805,0.02,0.3447659152960196,0.7106737910708817,-0.6683898701131968,0.8619338574924612,,,0.0699082619057531,0.0009586843941919,0.4242875714160846,1.0620684100964866,0.00017879299715557363,0.014170423591191758,2.0851778314438674,2.085356624441023,0.020775903310031207,0.020775903310031207
42,297,293,263,386,123.06502346320826,0.7004,4,123,0.0358203597765363,0.0231999404849829,,0.0285510122012946,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344747887557805,0.0344747887557805,0.02,0.3447695956747794,0.7127391318345417,-0.6663392508645758,0.8619393445287223,,,0.0702951485323169,0.0013455710207558,0.4242923695050359,1.062106092570415,0.0002152948954026995,0.014325080037967598,2.1079355275869323,2.108150822482335,0.022794198041311997,0.022794198041311997
43,297,293,263,386,123.06502346320826,0.7170761904761904,4,123,0.0362372179989023,0.0249972092224011,,0.0307628213946951,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344747887557805,0.0344747887557805,0.02,0.3447730892243837,0.7145433876711687,-0.6645489692263664,0.8619444342163224,,,0.0707120067546829,0.0017624292431217,0.4242969240230629,1.0621417164592208,0.00024994418756339786,0.014491715114880644,2.1324558791546866,2.13270582334225,0.024555000859915133,0.024555000859915133
44,298,293,263,386,123.10158406779338,0.7337523809523809,5,123,0.0366795782669379,0.0265264581060742,,0.032654490125657,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0344645499019965,0.0344645499019965,0.02,0.3446738868196929,0.71587423174546,-0.6628213155333116,0.8616931982205975,,,0.0711441281689344,0.0022150283649414,0.4243010875247363,1.062174279006806,0.0002814611918613239,0.014668541635316135,2.1584759016367694,2.1587573628286307,0.026051539486380726,0.026051539486380726
45,298,293,264,386,122.10241602851272,0.7504285714285714,5,122,0.0371430506831419,0.0277924635644901,,0.0339352694860865,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347465744341091,0.0347465744341091,0.02,0.3474966534494502,0.7227857704633905,-0.6672008433344102,0.8687473990190848,,,0.0718896251172511,0.0023964762490327,0.4243040850387672,1.0622011751314622,0.00030896841239340394,0.014853804323329813,2.185737306177982,2.1860462745903755,0.02728891176174475,0.02728891176174475
46,298,293,264,386,122.10241602851272,0.767104761904762,5,122,0.0376234936241936,0.0288101135410771,,0.0351778446942129,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347465744341091,0.0347465744341091,0.02,0.347498958318539,0.7238080301781553,-0.6661878030960009,0.8687511210206602,,,0.0723700680583028,0.0028769191900844,0.4243070690177278,1.0622252428405698,0.00033200905689990175,0.015045847228871048,2.213996419728375,2.214328428785275,0.028282154194899434,0.028282154194899434
47,298,293,264,386,122.10241602851272,0.7837809523809524,5,122,0.0381171448329352,0.0296021570062063,,0.0361449489011316,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.0347465744341091,0.0347465744341091,0.02,0.347500809556033,0.7246037761182724,-0.6653994621058597,0.8687542804748827,,,0.0728637192670444,0.003370570398826,0.4243094657055778,1.0622447810458666,0.0003505150797680355,0.01524316613221587,2.243031896355565,2.2433824114353333,0.02905398265005843,0.02905398265005843
