frame,x_26,x_28,y_26,y_28,distance,time_seconds,X,Y,ángulo_26_28,velocidad_angular,aceleracion_angular,velocidad,aceleracion,delta_t,error_total_px_28,error_total_px_26,error_tibia_px,error_tibia,error_total_tibia_px,error_X,error_Y,error_ángulo_26_28,ángulo_26_28_error_positivo,ángulo_26_28_error_negativo,error_velocidad_angular,error_aceleracion_angular,velocidad_angular_error_positivo,velocidad_angular_error_negativo,error_ángulo,error_tiempo,aceleracion_angular_error_positivo,aceleracion_angular_error_negativo,error_aceleración,error_velocidad,error_aceleracion
22,299,293,260,383,123.14625451064276,0.3668761904761904,6,123,0.033405641289942695,0.0210136962966904,,0.025877579923615873,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03445204812747772,0.06785768941742042,-0.0010464068375350272,0.3445383026955067,0.8614905337413842,0.7100903016877038,-0.6680629090943231,0.03445204812747772,0.02,,,17.229810674827682,0.4242873160588613,1.0622206055235235
23,296,293,260,382,122.03687967167956,0.383552380952381,3,122,0.03365991510798059,0.015247716101644026,,0.01860783695164263,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03476523407131862,0.0684251491792992,-0.0011053189633380284,0.34766163941512335,0.8692736265426616,0.7105709949318907,-0.6800755627286027,0.03476523407131862,0.02,,,17.38547253085323,0.42427610152736617,1.0620908852276194
24,296,293,260,382,122.03687967167956,0.4002285714285714,3,122,0.03382941966300331,0.010164465035628787,,0.012404395964800244,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03476523407131862,0.06859465373432193,-0.0009358144083153053,0.3476564729481887,0.8692340832026162,0.7054774109320061,-0.6851484808607486,0.03476523407131862,0.02,,,17.384681664052323,0.4242694159575728,1.0619988936922824
25,296,293,259,382,123.03657992645928,0.4169047619047619,3,123,0.03392723674359887,0.005865673022577712,,0.007216923476648587,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03448275862068965,0.06840999536428852,-0.0005555218770907783,0.34482897359038767,0.862139419700244,0.695523620203353,-0.6837922741581977,0.03448275862068965,0.02,,,17.24278839400488,0.42426587707070973,1.061936281298257
26,296,293,259,382,123.03657992645928,0.4335809523809524,3,123,0.03396735782459905,0.002405890065687716,,0.0029601248536126105,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03448275862068965,0.0684501164452887,-0.0005154007960905954,0.3448278196134829,0.8621129395179956,0.6920615292926535,-0.6872497491612781,0.03448275862068965,0.02,,,17.242258790359912,0.42426437294136093,1.0618940355119766
27,297,292,259,382,123.10158406779338,0.4502571428571428,5,123,0.033964394578414346,-0.00017769323209260713,,-0.00021874318348726,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034464549901996516,0.06842894448041087,-0.0005001553235821701,0.34464550029385793,0.8616379597003757,0.6891133073556233,-0.6894686938198085,0.034464549901996516,0.02,,,17.232759194007514,0.42426407037313907,1.0618678122639584
28,297,292,259,382,123.10158406779338,0.4669333333333333,5,123,0.033933019872450246,-0.0018814072679786012,,-0.0023160421496482525,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034464549901996516,0.06839756977444676,-0.0005315300295462705,0.3446456418293118,0.8616246321392453,0.687409876390645,-0.6911726909266022,0.034464549901996516,0.02,,,17.232492642784905,0.4242642549414133,1.0618526133829727
29,297,292,259,382,123.10158406779338,0.4836095238095238,5,123,0.0338872303565412,-0.002745801924871583,,-0.0033801256648808807,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034464549901996516,0.06835178025853772,-0.0005773195454553195,0.3446458031990199,0.8616172179425894,0.6865458044731682,-0.6920374083229114,0.034464549901996516,0.02,,,17.232344358851787,0.4242644653743965,1.0618448525686388
30,296,292,260,383,123.06502346320826,0.5002857142857143,4,123,0.033840276662904685,-0.002815612696649753,,-0.0034650344257650895,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.034474788755780576,0.06831506541868526,-0.0006345120928758913,0.3447482073057148,0.8618705359349511,0.6866808019147799,-0.6923120273080794,0.034474788755780576,0.02,,,17.23741071869902,0.42426448556688157,1.0618417212117919
31,295,292,261,384,123.03657992645928,0.5169619047619047,3,123,0.033804030246403424,-0.0021735429655239274,,-0.0026742529280127806,,0.02,3.0,3.0,2.0,0.005,5.0,4.242640687119285,4.242640687119285,0.03448275862068965,0.06828678886709308,-0.0006787283742862235,0.3448277767082367,0.8620709361875522,0.6874820104509495,-0.6918290963819974,0.03448275862068965,0.02,,,17.241418723751043,0.42426431701732437,1.0618420527306522
