frame,x_26,x_28,y_26,y_28,distance,distancia_promedio
107,293,290,263,388,125.03599481749245,127.69001986372378
108,294,291,262,387,125.03599481749245,127.69001986372378
109,294,293,262,387,125.00399993600205,127.69001986372378
110,294,295,261,387,126.00396819148197,127.69001986372378
111,294,297,260,386,126.03570922560003,127.69001986372378
112,295,300,259,386,127.09838708654017,127.69001986372378
113,295,303,258,385,127.251719045363,127.69001986372378
114,295,305,258,385,127.39309243440164,127.69001986372378
115,296,308,257,385,128.56126943990557,127.69001986372378
116,297,311,257,385,128.76334882255898,127.69001986372378
117,297,314,257,384,128.1327436684316,127.69001986372378
118,298,317,257,384,128.41339493993607,127.69001986372378
119,298,322,258,384,128.2653499585917,127.69001986372378
120,298,326,258,384,129.07362240210043,127.69001986372378
121,298,332,258,384,130.50670480860362,127.69001986372378
